Timestamp,Type,Reading #,Sensor Value,,,Average,
23:53:40,PERFUME,1,96,,,Perfume,484.0784314
23:53:40,PERFUME,2,95,,,Breath,244.05
23:53:41,PERFUME,3,96,,,,
23:53:41,PERFUME,4,95,,,,
23:53:42,PERFUME,5,95,,,,
23:53:42,PERFUME,6,95,,,,
23:53:43,PERFUME,7,95,,,,
23:53:43,PERFUME,8,95,,,,
23:53:44,PERFUME,9,98,,,,
23:53:44,PERFUME,10,101,,,,
23:53:45,PERFUME,11,107,,,,
23:53:45,PERFUME,12,115,,,,
23:53:46,PERFUME,13,129,,,,
23:53:46,PERFUME,14,140,,,,
23:53:47,PERFUME,15,146,,,,
23:53:47,PERFUME,16,148,,,,
23:53:48,PERFUME,17,150,,,,
23:53:48,PERFUME,18,146,,,,
23:53:49,PERFUME,19,135,,,,
23:53:49,PERFUME,20,124,,,,
23:53:50,PERFUME,21,117,,,,
23:53:50,PERFUME,22,112,,,,
23:53:51,PERFUME,23,108,,,,
23:53:51,PERFUME,24,107,,,,
23:53:52,PERFUME,25,105,,,,
23:53:52,PERFUME,26,107,,,,
23:53:53,PERFUME,27,131,,,,
23:53:53,PERFUME,28,165,,,,
23:53:54,PERFUME,29,208,,,,
23:53:54,PERFUME,30,331,,,,
23:53:55,PERFUME,31,432,,,,
23:53:55,PERFUME,32,514,,,,
23:53:56,PERFUME,33,570,,,,
23:53:56,PERFUME,34,629,,,,
23:53:57,PERFUME,35,677,,,,
23:53:57,PERFUME,36,711,,,,
23:53:58,PERFUME,37,733,,,,
23:53:58,PERFUME,38,752,,,,
23:53:59,PERFUME,39,769,,,,
23:53:59,PERFUME,40,779,,,,
23:54:00,PERFUME,41,771,,,,
23:54:00,PERFUME,42,759,,,,
23:54:01,PERFUME,43,749,,,,
23:54:01,PERFUME,44,749,,,,
23:54:02,PERFUME,45,762,,,,
23:54:02,PERFUME,46,775,,,,
23:54:03,PERFUME,47,784,,,,
23:54:03,PERFUME,48,781,,,,
23:54:04,PERFUME,49,773,,,,
23:54:04,PERFUME,50,772,,,,
23:54:05,PERFUME,51,772,,,,
23:54:05,PERFUME,52,765,,,,
23:54:06,PERFUME,53,759,,,,
23:54:06,PERFUME,54,756,,,,
23:54:07,PERFUME,55,753,,,,
23:54:07,PERFUME,56,756,,,,
23:54:08,PERFUME,57,759,,,,
23:54:08,PERFUME,58,745,,,,
23:54:09,PERFUME,59,730,,,,
23:54:09,PERFUME,60,720,,,,
23:56:09,BREATH,1,123,,,,
23:56:10,BREATH,2,122,,,,
23:56:10,BREATH,3,122,,,,
23:56:11,BREATH,4,122,,,,
23:56:11,BREATH,5,122,,,,
23:56:12,BREATH,6,121,,,,
23:56:12,BREATH,7,169,,,,
23:56:13,BREATH,8,213,,,,
23:56:13,BREATH,9,201,,,,
23:56:14,BREATH,10,194,,,,
23:56:14,BREATH,11,200,,,,
23:56:15,BREATH,12,204,,,,
23:56:15,BREATH,13,197,,,,
23:56:16,BREATH,14,230,,,,
23:56:16,BREATH,15,220,,,,
23:56:17,BREATH,16,237,,,,
23:56:17,BREATH,17,221,,,,
23:56:18,BREATH,18,237,,,,
23:56:18,BREATH,19,231,,,,
23:56:19,BREATH,20,222,,,,
23:56:19,BREATH,21,254,,,,
23:56:20,BREATH,22,243,,,,
23:56:20,BREATH,23,248,,,,
23:56:21,BREATH,24,278,,,,
23:56:21,BREATH,25,251,,,,
23:56:22,BREATH,26,253,,,,
23:56:22,BREATH,27,288,,,,
23:56:23,BREATH,28,271,,,,
23:56:23,BREATH,29,284,,,,
23:56:24,BREATH,30,298,,,,
23:56:24,BREATH,31,277,,,,
23:56:25,BREATH,32,257,,,,
23:56:25,BREATH,33,254,,,,
23:56:26,BREATH,34,245,,,,
23:56:26,BREATH,35,270,,,,
23:56:27,BREATH,36,272,,,,
23:56:27,BREATH,37,256,,,,
23:56:28,BREATH,38,234,,,,
23:56:28,BREATH,39,282,,,,
23:56:29,BREATH,40,291,,,,
23:56:29,BREATH,41,253,,,,
23:56:30,BREATH,42,259,,,,
23:56:30,BREATH,43,290,,,,
23:56:31,BREATH,44,266,,,,
23:56:31,BREATH,45,288,,,,
23:56:32,BREATH,46,290,,,,
23:56:32,BREATH,47,267,,,,
23:56:33,BREATH,48,299,,,,
23:56:33,BREATH,49,303,,,,
23:56:34,BREATH,50,303,,,,
23:56:34,BREATH,51,288,,,,
23:56:35,BREATH,52,265,,,,
23:56:35,BREATH,53,282,,,,
23:56:36,BREATH,54,295,,,,
23:56:36,BREATH,55,297,,,,
23:56:37,BREATH,56,271,,,,
23:56:37,BREATH,57,279,,,,
23:56:38,BREATH,58,286,,,,
23:56:38,BREATH,59,279,,,,
23:56:39,BREATH,60,269,,,,
